River kilometer measured from Lees Ferry (using NHD division) going upstream towards Glen Canyon Dam,,
River_km,Latitude,Longitude
-79.7,37.0645905,-111.24169
-79.8,37.0654488,-111.24136
-79.9,37.0662804,-111.24093
-80,37.0671082,-111.24049
-80.1,37.0679283,-111.24003
-80.2,37.0686493,-111.23935
-80.3,37.0693207,-111.2386
-80.4,37.0696793,-111.23761
-80.5,37.0698204,-111.23651
-80.6,37.0697899,-111.23539
-80.7,37.0696793,-111.2343
-80.8,37.0691414,-111.23339
-80.9,37.0685387,-111.23257
-81,37.0678101,-111.23191
-81.1,37.0670815,-111.23125
-81.2,37.066349,-111.2306
-81.3,37.0655212,-111.23015
-81.4,37.0646896,-111.22972
-81.5,37.0638618,-111.22928
-81.6,37.0630302,-111.22885
-81.7,37.062191,-111.22841
-81.8,37.0613594,-111.22797
